"","dia","hora","sentido","eixos_2","eixos_3","eixos_4","eixos_5","eixos_6","eixos_7","eixos_8","eixos_9","passeio","moto","outros"
"1",1,0,"C","11","15","9","11","11","0","0","0","43","4","7"
"2",1,0,"D","12","12","17","4","9","1","0","0","43","1","9"
"3",1,0,"Total","23","27","26","15","20","1","0","0","86","5","16"
"4",1,1,"C","8","9","5","11","13","0","0","0","32","4","4"
"5",1,1,"D","5","11","21","3","7","0","0","1","40","0","4"
"6",1,1,"Total","13","20","26","14","20","0","0","1","72","4","8"
"7",1,2,"C","9","10","4","14","14","0","0","0","21","4","5"
"8",1,2,"D","8","9","25","5","6","0","0","0","31","3","3"
"9",1,2,"Total","17","19","29","19","20","0","0","0","52","7","8"
"10",1,3,"C","8","8","6","10","12","0","0","0","29","3","7"
"11",1,3,"D","11","13","14","7","6","0","0","0","35","4","4"
"12",1,3,"Total","19","21","20","17","18","0","0","0","64","7","11"
"13",1,4,"C","13","15","9","15","18","0","0","0","66","5","10"
"14",1,4,"D","9","13","20","5","9","1","0","0","33","0","8"
"15",1,4,"Total","22","28","29","20","27","1","0","0","99","5","18"
"16",1,5,"C","20","20","16","27","34","0","0","0","140","9","28"
"17",1,5,"D","27","28","47","13","12","0","0","1","75","1","20"
"18",1,5,"Total","47","48","63","40","46","0","0","1","215","10","48"
"19",1,6,"C","46","26","21","38","43","2","0","5","253","9","39"
"20",1,6,"D","42","36","91","19","24","2","0","4","186","7","21"
"21",1,6,"Total","88","62","112","57","67","4","0","9","439","16","60"
"22",1,7,"C","33","22","17","50","43","1","0","3","332","14","36"
"23",1,7,"D","30","24","75","14","29","3","0","0","276","7","33"
"24",1,7,"Total","63","46","92","64","72","4","0","3","608","21","69"
"25",1,8,"C","36","24","18","43","36","0","0","3","344","11","33"
"26",1,8,"D","32","13","68","15","27","1","0","1","328","4","22"
"27",1,8,"Total","68","37","86","58","63","1","0","4","672","15","55"
"28",1,9,"C","37","31","23","46","38","3","0","2","380","11","34"
"29",1,9,"D","26","20","66","13","21","0","0","3","321","11","22"
"30",1,9,"Total","63","51","89","59","59","3","0","5","701","22","56"
"31",1,10,"C","36","33","23","48","43","3","0","4","393","12","34"
"32",1,10,"D","48","15","64","25","36","4","0","2","348","10","27"
"33",1,10,"Total","84","48","87","73","79","7","0","6","741","22","61"
"34",1,11,"C","34","32","23","51","46","4","0","1","386","16","37"
"35",1,11,"D","35","24","59","13","28","1","0","2","408","8","29"
"36",1,11,"Total","69","56","82","64","74","5","0","3","794","24","66"
"37",1,12,"C","34","33","24","47","41","2","0","2","356","12","36"
