Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
26/03/2024,0,19.9,20,19.9,97,97,97,19.4,19.5,19.3,909.7,909.7,909,0,318,1.8,,0
26/03/2024,100,19.7,19.9,19.7,97,97,96,19.2,19.4,19.1,909.8,909.8,909.7,1.6,38,2.6,,3.2
26/03/2024,200,19.3,19.7,19.2,96,97,96,18.7,19.2,18.7,910,910,909.8,1,67,3,,1.6
26/03/2024,300,19.1,19.3,19.1,97,97,95,18.6,18.7,18.5,910.1,910.1,910,1.3,214,2,,0
26/03/2024,400,19.2,19.2,19,97,97,97,18.7,18.7,18.6,909.9,910.1,909.9,0,143,2.1,,0
26/03/2024,500,19.2,19.3,19.2,97,97,97,18.7,18.8,18.7,909.4,909.9,909.4,0.9,140,1.1,,0
26/03/2024,600,19,19.3,19,97,97,97,18.5,18.8,18.5,908.8,909.4,908.8,0.9,170,2.6,,0
26/03/2024,700,19.1,19.1,19,97,97,97,18.6,18.6,18.5,908.6,908.9,908.6,1.5,158,2.1,,0.2
26/03/2024,800,19.1,19.1,19,97,97,97,18.6,18.7,18.6,908.7,908.7,908.6,1.4,179,2.3,,0
26/03/2024,900,18.8,19.1,18.8,97,97,97,18.4,18.6,18.3,909.1,909.1,908.7,1.3,193,2,,0
26/03/2024,1000,19,19,18.8,97,97,97,18.5,18.5,18.3,909.9,909.9,909.1,0.4,154,2.1,27.1,0
26/03/2024,1100,19.1,19.2,19,97,97,97,18.5,18.7,18.5,910.3,910.3,909.9,1,83,2.3,72.6,0.2
26/03/2024,1200,20.2,20.2,19,94,97,93,19.2,19.3,18.4,910.7,910.7,910.3,0.8,66,2.1,555.2,0
26/03/2024,1300,21.7,21.8,20.2,85,94,84,19.1,19.7,18.3,911.3,911.3,910.7,0.6,180,1.8,1127.9,0
