"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"25/09/2024","130.570","131.586","-0,43","131.489","132.982","n/d"
"24/09/2024","131.065","132.156","1,22","130.570","133.073","n/d"
"23/09/2024","131.065","130.568","-0,38","130.100","131.065","n/d"
"20/09/2024","133.748","131.065","-1,55","130.907","133.128","n/d"
"19/09/2024","134.960","133.123","-0,47","133.123","134.759","n/d"
"18/09/2024","134.960","133.748","-0,90","133.748","135.203","n/d"
"17/09/2024","134.885","134.960","-0,12","134.180","135.118","n/d"
"16/09/2024","134.885","135.118","0,18","134.870","135.715","n/d"
"13/09/2024","134.677","134.882","0,64","134.031","135.879","n/d"
"12/09/2024","134.319","134.029","-0,48","133.591","134.777","n/d"
"11/09/2024","134.738","134.677","0,27","133.757","135.087","n/d"
"10/09/2024","134.574","134.320","-0,31","133.754","134.738","n/d"
"09/09/2024","134.574","134.737","0,12","134.399","135.250","n/d"
"06/09/2024","136.112","134.572","-1,41","134.476","136.653","n/d"
"05/09/2024","134.359","136.502","0,29","135.959","136.656","n/d"
"04/09/2024","134.907","136.111","1,31","134.359","136.838","n/d"
"03/09/2024","136.004","134.353","-0,41","134.171","135.011","n/d"
"02/09/2024","136.004","134.906","-0,81","134.497","136.004","n/d"
"30/08/2024","137.349","136.004","-0,03","134.910","136.139","n/d"
"29/08/2024","136.776","136.041","-0,95","135.858","137.370","n/d"
"28/08/2024","136.888","137.344","0,42","135.746","137.469","n/d"
"27/08/2024","136.888","136.776","-0,08","136.664","137.213","n/d"
"26/08/2024","135.608","136.889","0,94","135.596","137.013","n/d"
"23/08/2024","135.174","135.608","0,32","135.174","136.478","n/d"
"22/08/2024","136.462","135.173","-0,95","134.836","136.462","n/d"
"21/08/2024","136.088","136.464","0,28","136.086","137.040","n/d"
"20/08/2024","135.779","136.087","0,23","135.312","136.330","n/d"
"19/08/2024","133.953","135.778","1,36","133.953","136.179","n/d"
"16/08/2024","134.154","133.953","-0,15","133.852","134.781","n/d"
