Data,capital,intermediarios,consumo_duraveis,nao_duraveis
janeiro 2002,58.19209,87.97245,79.78011,87.7197
fevereiro 2002,56.75125,85.22869,76.99005,83.11683
março 2002,64.68231,94.9415,90.99818,89.70269
abril 2002,68.89823,96.00238,101.83394,92.75267
maio 2002,66.66389,99.12757,92.64642,92.94413
junho 2002,61.71547,97.15759,81.09107,88.98536
julho 2002,67.96085,102.1704,85.8333,99.7961
agosto 2002,64.58088,101.51946,86.39435,103.6686
setembro 2002,64.59495,99.05224,93.56087,100.76334
outubro 2002,70.96734,104.60387,107.99848,113.73182
novembro 2002,66.79613,98.52809,103.76443,106.20027
dezembro 2002,58.60638,89.33696,82.26822,93.57646
janeiro 2003,57.36889,91.64668,87.1565,85.55091
fevereiro 2003,60.20825,88.36867,86.68376,81.94634
março 2003,59.28463,99.24418,80.49703,85.45267
abril 2003,60.75162,96.29047,87.61703,85.47378
maio 2003,62.88912,100.13129,87.29369,90.30211
junho 2003,59.84164,96.2518,79.01492,86.89062
julho 2003,65.77214,101.64941,82.75268,94.21479
agosto 2003,65.24417,101.24679,86.03946,95.72981
setembro 2003,71.20448,104.09117,100.13574,101.47236
outubro 2003,79.29971,107.03942,110.26406,108.49665
novembro 2003,79.67665,98.83341,108.24978,102.60542
dezembro 2003,67.1533,92.89115,94.63971,94.05932
janeiro 2004,65.64871,94.4566,97.82377,86.1756
fevereiro 2004,65.72891,92.33654,89.14697,80.64803
março 2004,82.95766,106.33483,114.41044,94.59889
abril 2004,76.27416,101.54533,105.80764,88.78858
maio 2004,81.42104,107.13325,107.48472,92.5984
junho 2004,80.95217,106.31305,107.18979,93.62235
julho 2004,83.28056,111.64152,109.79752,98.10789
agosto 2004,85.86741,112.12282,118.58923,102.84493
setembro 2004,82.85695,110.38001,122.40685,106.63144
outubro 2004,84.19532,111.98383,120.6362,108.9844
novembro 2004,85.03302,106.60059,122.8789,111.96525
dezembro 2004,77.11653,99.15645,107.07509,103.76027
janeiro 2005,70.88082,97.87143,98.34724,95.14461
fevereiro 2005,67.57748,92.65245,103.96663,85.97299
março 2005,84.21947,105.52585,126.25118,97.74678
abril 2005,79.4434,104.53629,120.90052,98.33256
maio 2005,85.25705,109.96678,123.07244,102.05317
junho 2005,88.328,109.67354,124.8337,102.3138
julho 2005,79.63135,109.7991,118.59179,103.07006
