"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2024","63,96","58,78","65,04","55,93","37,20M","7,35%"
"01.08.2024","59,58","59,67","60,14","55,48","588,87M","-3,33%"
"01.07.2024","61,63","62,71","64,84","60,00","498,38M","-0,95%"
"01.06.2024","62,22","62,84","62,85","59,71","350,12M","-1,55%"
"01.05.2024","63,20","63,70","67,10","62,79","382,87M","-0,14%"
"01.04.2024","63,29","61,60","64,09","59,61","536,84M","4,04%"
"01.03.2024","60,83","64,03","64,76","59,36","517,63M","-9,20%"
"01.02.2024","66,99","67,87","69,07","65,04","498,47M","-1,14%"
"01.01.2024","67,76","77,60","78,18","67,11","602,72M","-12,23%"
"01.12.2023","77,20","74,73","78,20","71,76","376,33M","4,54%"
"01.11.2023","73,85","67,19","76,20","67,17","517,44M","7,03%"
"01.10.2023","69,00","67,58","69,24","62,00","480,66M","2,10%"
"01.09.2023","67,58","66,69","71,23","65,31","534,58M","3,84%"
"01.08.2023","65,08","66,76","66,79","61,00","640,73M","-5,90%"
"01.07.2023","69,16","64,71","72,66","64,31","549,49M","7,69%"
"01.06.2023","64,22","64,94","70,20","64,15","651,47M","0,64%"
"01.05.2023","63,81","71,30","71,60","63,51","691,88M","-11,86%"
"01.04.2023","72,40","79,80","82,95","69,18","447,77M","-9,83%"
"01.03.2023","80,29","85,88","88,36","78,03","513,44M","-3,83%"
"01.02.2023","83,49","93,15","93,15","81,85","384,06M","-9,72%"
"01.01.2023","92,48","86,77","96,18","86,05","482,00M","6,33%"
"01.12.2022","86,97","84,28","88,27","81,78","620,32M","4,05%"
"01.11.2022","83,58","67,73","84,47","64,93","758,45M","27,68%"
"01.10.2022","65,47","71,42","77,47","63,90","826,14M","-6,82%"
"01.09.2022","70,25","62,39","71,09","60,37","771,09M","11,69%"
"01.08.2022","62,90","63,92","69,43","61,95","744,05M","-2,73%"
"01.07.2022","64,67","70,02","72,52","61,36","605,32M","-8,89%"
"01.06.2022","70,98","79,91","84,27","67,15","580,11M","-11,19%"
"01.05.2022","79,93","77,10","81,06","69,42","647,78M","3,51%"
"01.04.2022","77,22","89,73","91,09","71,89","561,12M","-12,88%"
"01.03.2022","88,64","88,36","95,63","80,92","746,34M","7,58%"
"01.02.2022","82,39","72,77","84,35","72,65","526,88M","14,11%"
"01.01.2022","72,20","70,53","79,46","68,66","517,83M","3,73%"
"01.12.2021","69,60","63,66","72,02","62,47","494,44M","11,45%"
"01.11.2021","62,45","64,28","65,05","55,22","603,56M","-2,32%"
"01.10.2021","63,94","68,52","74,19","63,41","525,40M","-6,07%"
"01.09.2021","68,07","78,75","81,59","65,63","725,81M","-14,71%"
"01.08.2021","79,81","89,70","91,60","77,78","514,30M","-9,27%"
"01.07.2021","87,97","91,73","95,12","87,97","420,97M","-3,96%"
"01.06.2021","91,60","92,80","93,59","83,20","533,96M","0,62%"
"01.05.2021","91,04","87,01","95,53","84,10","587,38M","5,28%"
"01.04.2021","86,47","78,12","89,59","76,25","453,24M","11,28%"
"01.03.2021","77,70","72,86","80,85","71,87","672,16M","8,32%"
"01.02.2021","71,74","68,31","75,10","66,42","550,70M","7,47%"
"01.01.2021","66,75","67,81","78,44","66,63","647,86M","0,57%"
"01.12.2020","66,37","60,59","67,23","58,67","604,78M","12,12%"
"01.11.2020","59,20","46,98","60,23","46,46","747,79M","28,82%"
"01.10.2020","45,95","45,18","48,49","44,03","484,25M","2,44%"
"01.09.2020","44,86","43,92","46,37","42,49","619,34M","3,19%"
"01.08.2020","43,48","45,07","46,54","43,24","710,30M","-1,70%"
"01.07.2020","44,23","40,85","45,86","39,38","564,37M","8,57%"
"01.06.2020","40,74","38,48","41,49","37,87","542,44M","5,51%"
"01.05.2020","38,61","31,84","39,10","31,62","647,36M","18,15%"
