data,hidraulica,termica,eolica,solar
2023-01-01 00:00:00,39057.30900000,5698.33500000,14138.75000000,21.15500000
2023-01-01 01:00:00,39624.65000000,5727.55000000,13790.85900000,20.25800000
2023-01-01 02:00:00,38960.54100000,5712.61400000,13612.56500000,20.17000000
2023-01-01 03:00:00,38017.07000000,5700.56300000,13277.32100000,19.59500000
2023-01-01 04:00:00,37292.16600000,5721.18500000,13009.71500000,20.95100000
2023-01-01 05:00:00,35101.35300000,5727.49300000,12311.20000000,79.84000000
2023-01-01 06:00:00,31919.72200000,5708.40100000,11118.55000000,1677.30300000
2023-01-01 07:00:00,27946.94400000,5704.64400000,11337.63100000,3678.66200000
2023-01-01 08:00:00,26147.67000000,5664.99300000,11117.89600000,4289.58200000
2023-01-01 09:00:00,26038.46200000,5612.05500000,10206.06400000,4533.16700000
2023-01-01 10:00:00,27436.85100000,5598.12700000,9330.85300000,4327.26800000
2023-01-01 11:00:00,28298.18300000,5570.53800000,9238.29400000,4351.10700000
2023-01-01 12:00:00,28466.81700000,5583.53600000,8999.18300000,4691.32700000
2023-01-01 13:00:00,28450.33400000,5562.56700000,9206.13200000,4581.21600000
2023-01-01 14:00:00,29631.22200000,5569.41700000,9470.11000000,4442.85200000
2023-01-01 15:00:00,31880.55400000,5571.61800000,9807.82200000,4171.03300000
2023-01-01 16:00:00,36348.91200000,5568.29200000,9628.22900000,3297.13200000
2023-01-01 17:00:00,43048.60900000,5558.59500000,9303.00300000,1260.46300000
2023-01-01 18:00:00,49766.20500000,5570.85400000,9432.13300000,105.73400000
2023-01-01 19:00:00,53112.43200000,5555.56600000,11089.76900000,21.37600000
2023-01-01 20:00:00,53892.69400000,5546.75000000,11754.80400000,20.86900000
2023-01-01 21:00:00,53114.63400000,5573.86500000,12101.75500000,21.27400000
2023-01-01 22:00:00,50947.92200000,5566.05200000,12782.43900000,20.92000000
2023-01-01 23:00:00,47739.00300000,5577.86800000,13256.04400000,21.20600000
2023-01-02 00:00:00,44704.81100000,5655.36900000,13198.16200000,20.99700000
2023-01-02 01:00:00,42880.77100000,5765.99400000,12463.69300000,21.02700000
2023-01-02 02:00:00,41860.44300000,5833.63000000,11727.15800000,20.98900000
2023-01-02 03:00:00,41213.24700000,5928.90300000,11195.04000000,20.86300000
2023-01-02 04:00:00,41581.87400000,5970.59300000,10365.32000000,20.83000000
2023-01-02 05:00:00,41423.14400000,5998.17500000,9668.09400000,52.42400000
2023-01-02 06:00:00,41418.78800000,6058.20600000,8618.23200000,1224.85700000
2023-01-02 07:00:00,41699.37900000,6253.85600000,8571.58800000,3244.43600000
2023-01-02 08:00:00,43126.66900000,6202.42800000,9312.97900000,4316.83400000
2023-01-02 09:00:00,43914.98500000,6487.79500000,9094.68300000,4663.20700000
2023-01-02 10:00:00,45543.87100000,6604.01800000,8125.53000000,5070.46600000
2023-01-02 11:00:00,47058.03900000,6800.19200000,7008.52200000,5150.39900000
2023-01-02 12:00:00,46840.12600000,6873.95900000,7250.93900000,5091.82000000
2023-01-02 13:00:00,48750.70700000,6914.03300000,7822.31700000,4941.59400000
2023-01-02 14:00:00,51471.38700000,6964.19700000,8143.58100000,4356.37700000
2023-01-02 15:00:00,54158.69600000,6994.97200000,7849.19600000,3536.48800000
2023-01-02 16:00:00,56255.30800000,7013.99900000,8270.57200000,2475.26000000
2023-01-02 17:00:00,56735.43000000,6992.12200000,8371.39200000,1306.38900000
2023-01-02 18:00:00,58684.13400000,6962.42800000,8469.26900000,138.23300000
2023-01-02 19:00:00,62118.17400000,6967.98200000,9612.95400000,14.97700000
2023-01-02 20:00:00,62431.09900000,6940.30800000,10203.32000000,2.81200000
2023-01-02 21:00:00,61936.69200000,6948.42200000,10498.67600000,3.61300000
2023-01-02 22:00:00,59968.16700000,6934.69500000,10206.26700000,2.91300000
2023-01-02 23:00:00,56160.26600000,6905.37300000,10155.97100000,3.67300000
2023-01-03 00:00:00,53084.21900000,6931.36700000,9041.64500000,2.51600000
2023-01-03 01:00:00,50542.55900000,7023.00100000,8409.13500000,3.17000000
2023-01-03 02:00:00,48499.28300000,7041.93400000,8355.54400000,2.86800000
2023-01-03 03:00:00,48015.04400000,7042.23400000,7689.34800000,3.30900000
2023-01-03 04:00:00,48426.31100000,7043.62500000,7133.78300000,2.47000000
2023-01-03 05:00:00,48060.60600000,7026.82100000,6775.80300000,45.46200000
2023-01-03 06:00:00,47443.09300000,6995.32500000,6549.48900000,999.00400000
2023-01-03 07:00:00,48773.81300000,6820.94700000,7058.14100000,2528.18400000
2023-01-03 08:00:00,50654.30100000,6828.81100000,7598.62500000,3056.07500000
2023-01-03 09:00:00,50923.93200000,6892.90200000,7536.93100000,3804.10000000
2023-01-03 10:00:00,51370.33800000,6845.04000000,7135.90400000,4163.32100000
2023-01-03 11:00:00,51503.20100000,6928.44700000,6985.31300000,4259.49100000
2023-01-03 12:00:00,50572.91700000,7062.08500000,7114.03000000,4324.54600000
2023-01-03 13:00:00,52986.97900000,6968.79300000,7715.25700000,4066.94900000
2023-01-03 14:00:00,56466.60700000,6961.03200000,7717.91800000,3193.52300000
2023-01-03 15:00:00,59503.97700000,6991.98600000,7619.21500000,2200.82000000
2023-01-03 16:00:00,60690.16400000,7117.36700000,8378.83600000,1562.80800000
2023-01-03 17:00:00,58748.76800000,7217.30400000,9682.95300000,732.56500000
2023-01-03 18:00:00,58987.50600000,7211.97800000,10623.02000000,195.25400000
2023-01-03 19:00:00,63233.72200000,7196.78500000,10498.33200000,115.56800000
2023-01-03 20:00:00,63892.72500000,7207.61100000,10099.98600000,17.50600000
2023-01-03 21:00:00,63519.36200000,7219.27400000,9866.49500000,17.83500000
2023-01-03 22:00:00,61370.35400000,7195.43800000,9596.61100000,17.68700000
2023-01-03 23:00:00,57721.60500000,7190.20100000,9202.25400000,17.36000000
2023-01-04 00:00:00,53337.80200000,7248.20400000,9130.83000000,17.10200000
2023-01-04 01:00:00,50929.29100000,7284.16900000,8554.08400000,17.63100000
2023-01-04 02:00:00,49547.81600000,7283.53900000,7991.39500000,17.02400000
2023-01-04 03:00:00,48375.48400000,7287.70300000,8125.51600000,17.02000000
2023-01-04 04:00:00,48362.06400000,7279.36500000,7798.26800000,17.04000000
2023-01-04 05:00:00,48025.03600000,7278.12400000,7529.19400000,57.55000000
2023-01-04 06:00:00,48075.05700000,7212.83200000,6869.03400000,878.57200000
2023-01-04 07:00:00,49874.79400000,7139.14400000,6684.98400000,2265.16100000
2023-01-04 08:00:00,51777.73000000,7083.36300000,6771.90500000,2886.04800000
2023-01-04 09:00:00,52263.10900000,7070.38100000,6656.00500000,3662.04900000
2023-01-04 10:00:00,51646.56200000,7072.34300000,6925.56100000,4453.96100000
2023-01-04 11:00:00,50992.93100000,6982.75700000,7150.83500000,4656.66800000
2023-01-04 12:00:00,49527.45200000,6958.72000000,7541.21500000,4696.67100000
2023-01-04 13:00:00,51674.03300000,6876.53500000,7767.91800000,4519.07100000
2023-01-04 14:00:00,54547.52200000,6887.83100000,8109.17700000,3834.02100000
2023-01-04 15:00:00,56139.91900000,6902.74900000,8874.86100000,3322.53400000
2023-01-04 16:00:00,58397.86400000,6766.06100000,9185.19800000,2174.53500000
2023-01-04 17:00:00,59164.81600000,6808.81300000,9134.23300000,638.21300000
2023-01-04 18:00:00,60484.52200000,6812.86900000,9252.40500000,75.78400000
2023-01-04 19:00:00,63811.76900000,6829.37400000,9869.33800000,27.11600000
2023-01-04 20:00:00,64224.35900000,6853.84200000,9924.63200000,18.90400000
2023-01-04 21:00:00,63439.04000000,6848.27100000,9954.87800000,8.00300000
2023-01-04 22:00:00,60837.02000000,6806.49400000,9776.96000000,4.93200000
2023-01-04 23:00:00,56341.45900000,6806.89300000,10031.72700000,4.69400000
2023-01-05 00:00:00,52328.60100000,6768.35500000,9907.68900000,4.96700000
2023-01-05 01:00:00,49530.75000000,6782.27000000,9808.48400000,5.13600000
2023-01-05 02:00:00,48066.33800000,6806.39600000,9510.49900000,4.98700000
2023-01-05 03:00:00,47186.75800000,6780.58300000,9310.17400000,4.72300000
2023-01-05 04:00:00,47165.59500000,6612.30900000,9156.79000000,4.13700000
2023-01-05 05:00:00,47114.50100000,6607.47600000,8739.48400000,46.38800000
2023-01-05 06:00:00,46648.21600000,6728.47600000,7804.00100000,1226.32700000
2023-01-05 07:00:00,46947.12700000,6841.35800000,8070.42100000,2902.55800000
2023-01-05 08:00:00,47240.84600000,6511.26300000,9070.35100000,4096.87100000
2023-01-05 09:00:00,48485.13700000,5893.42400000,8402.34800000,4205.50300000
2023-01-05 10:00:00,49459.96400000,5856.32700000,7653.43600000,4095.03100000
2023-01-05 11:00:00,49559.48900000,5865.63400000,7018.45000000,4362.11000000
2023-01-05 12:00:00,48179.94300000,5834.43300000,7000.55800000,4339.07900000
2023-01-05 13:00:00,50670.50600000,5810.65300000,7309.94900000,3959.75500000
2023-01-05 14:00:00,53844.00700000,5779.24700000,7633.42100000,3216.15100000
2023-01-05 15:00:00,55024.58600000,5769.83700000,8286.27000000,3029.70100000
2023-01-05 16:00:00,57926.07700000,5746.65700000,8762.44100000,1694.98500000
2023-01-05 17:00:00,59053.37400000,5760.94600000,8541.66200000,593.03900000
2023-01-05 18:00:00,60924.93200000,5753.02800000,8493.75400000,34.31600000
2023-01-05 19:00:00,64354.16000000,5788.47900000,8788.11000000,4.49800000
2023-01-05 20:00:00,64708.91400000,5805.17000000,8764.43300000,3.46500000
2023-01-05 21:00:00,64710.88200000,5819.98500000,7871.97700000,3.36000000
2023-01-05 22:00:00,62342.26900000,5803.03100000,7435.14800000,3.34100000
2023-01-05 23:00:00,58735.42400000,5775.01100000,7097.95400000,3.62100000
2023-01-06 00:00:00,55470.33300000,5478.31100000,6562.76400000,3.58800000
2023-01-06 01:00:00,52930.51200000,5482.59100000,6066.21800000,3.44700000
2023-01-06 02:00:00,50851.12800000,5460.11300000,6208.83500000,3.73300000
2023-01-06 03:00:00,49562.39400000,5467.20600000,6395.37500000,3.90200000
2023-01-06 04:00:00,49642.09900000,5503.48100000,6136.87200000,3.44100000
2023-01-06 05:00:00,49488.65100000,5527.34400000,6027.83200000,51.29300000
2023-01-06 06:00:00,49622.52800000,5543.14200000,5372.98100000,957.19600000
2023-01-06 07:00:00,50913.38700000,5560.33700000,5484.09800000,2064.45600000
2023-01-06 08:00:00,51352.58700000,5536.31500000,6046.08900000,3032.01700000
2023-01-06 09:00:00,50837.32500000,5524.99900000,5965.36600000,3798.63200000
2023-01-06 10:00:00,50992.74900000,5569.04300000,5494.84000000,4286.76600000
2023-01-06 11:00:00,50338.10400000,5565.69000000,5529.49900000,4655.09100000
2023-01-06 12:00:00,48762.10000000,5598.59100000,5951.61200000,4755.55800000
2023-01-06 13:00:00,50754.34300000,5600.63700000,6444.24900000,4458.08800000
2023-01-06 14:00:00,53000.99800000,5614.05100000,6957.89700000,4081.34200000
2023-01-06 15:00:00,55157.97100000,5571.29500000,7555.06400000,3011.79500000
2023-01-06 16:00:00,57152.29200000,5582.24100000,7923.12500000,1878.30800000
2023-01-06 17:00:00,59056.86700000,5579.32600000,7558.62900000,571.93300000
2023-01-06 18:00:00,60767.89000000,5527.58600000,8008.65900000,46.24600000
2023-01-06 19:00:00,63497.23600000,5555.57000000,8559.67700000,5.08900000
2023-01-06 20:00:00,63048.54800000,5514.53400000,8983.28100000,4.74800000
2023-01-06 21:00:00,61583.08400000,5517.41400000,9360.90400000,3.66200000
2023-01-06 22:00:00,58857.86400000,5565.64600000,9712.64900000,3.66200000
2023-01-06 23:00:00,55391.24600000,5637.71400000,9608.47100000,3.26500000
2023-01-07 00:00:00,51638.27000000,5637.17000000,9645.47700000,3.98200000
2023-01-07 01:00:00,48662.00100000,5632.91300000,9643.90400000,3.95200000
2023-01-07 02:00:00,46570.20400000,5654.95800000,9599.43800000,3.00200000
2023-01-07 03:00:00,45249.62200000,5670.89400000,9733.39200000,4.52300000
2023-01-07 04:00:00,44836.06900000,5672.90900000,9578.06300000,3.57600000
2023-01-07 05:00:00,42962.29300000,5697.54900000,10040.67300000,50.15600000
