ano,mes,Exp
2024,9,28789018681
2024,8,28745708186
2024,7,30911956298
2024,6,28760129168
2024,5,30196726463
2024,4,30321847403
2024,3,27651815693
2024,2,23378046747
2024,1,26701156425
2023,12,28786226565
2023,11,27886116219
2023,10,29681867318
2023,9,28713085056
2023,8,31101089774
2023,7,28300073730
2023,6,29600309149
2023,5,32666140787
2023,4,27100302410
2023,3,32822911866
2023,2,20241628657
2023,1,22796014477
2022,12,26342396058
2022,11,27652303451
2022,10,26852476461
2022,9,28587334142
2022,8,30786908834
2022,7,29844324640
2022,6,32742194543
2022,5,29642851197
2022,4,28969694687
2022,3,29422320196
2022,2,23513305117
2022,1,19779928894
2021,12,24432406778
2021,11,20501766210
2021,10,22602637234
2021,9,24376129510
2021,8,27216375900
2021,7,25508595503
2021,6,28257895138
2021,5,26200662606
2021,4,26059431856
2021,3,24335759852
2021,2,16375290870
2021,1,14947626003
2020,12,18451708927
2020,11,17344900538
2020,10,17649335596
2020,9,18223387712
2020,8,17403775488
2020,7,19416007176
2020,6,17478971342
2020,5,17519841090
2020,4,17593798650
2020,3,18312350349
2020,2,15356449520
2020,1,14429715267
2019,12,18463268592
2019,11,17609813357
2019,10,19483912811
2019,9,18620814373
2019,8,19565551588
2019,7,19920683762
2019,6,18306721692
2019,5,20500498556
2019,4,19090646313
2019,3,17308721624
2019,2,15618080347
2019,1,16638094632
2018,12,19257634148
2018,11,19199739213
2018,10,21671364889
2018,9,19041023535
2018,8,20084138252
2018,7,21055288607
2018,6,19830021392
2018,5,19271601072
2018,4,19678336251
2018,3,20228663646
2018,2,15801987736
2018,1,16769724658
2017,12,17476274644
2017,11,16584235219
2017,10,18694329848
2017,9,18533214138
2017,8,19336799997
2017,7,17658900096
2017,6,19535151809
2017,5,19726040175
2017,4,17484572350
2017,3,19854737707
2017,2,15275976600
2017,1,14827875770
2016,12,15773205272
2016,11,14212824778
2016,10,13594442203
2016,9,15684375284
2016,8,16863031142
2016,7,15142715725
2016,6,16602945756
2016,5,16596334743
2016,4,15082231392
2016,3,15845539947
2016,2,13103865483
2016,1,11024617489
2015,12,15694230026
