Data,Producao
1/1/2000,1068935
2/1/2000,980657
3/1/2000,1087442
4/1/2000,1059863
5/1/2000,1108285
6/1/2000,1106878
7/1/2000,1135135
8/1/2000,1102478
9/1/2000,1119512
10/1/2000,1148547
11/1/2000,1148621
12/1/2000,1216524
1/1/2001,1169771
2/1/2001,1089567
3/1/2001,1180630
4/1/2001,1116020
5/1/2001,1154038
6/1/2001,1134248
7/1/2001,1180637
8/1/2001,1169423
9/1/2001,1147600
10/1/2001,1151292
11/1/2001,1201295
12/1/2001,1304276
1/1/2002,1335166
2/1/2002,1238338
3/1/2002,1378671
4/1/2002,1332614
5/1/2002,1366700
6/1/2002,1304133
7/1/2002,1295414
8/1/2002,1321210
9/1/2002,1251907
10/1/2002,1256030
11/1/2002,1208174
12/1/2002,1236796
1/1/2003,1317096
2/1/2003,1207263
3/1/2003,1315645
4/1/2003,1283424
5/1/2003,1292164
6/1/2003,1231728
7/1/2003,1326925
8/1/2003,1371809
9/1/2003,1353389
10/1/2003,1403236
11/1/2003,1331020
12/1/2003,1358365
1/1/2004,1381342
2/1/2004,1319177
3/1/2004,1433681
4/1/2004,1390912
5/1/2004,1392777
6/1/2004,1390781
7/1/2004,1463457
8/1/2004,1457533
9/1/2004,1417595
10/1/2004,1464053
11/1/2004,1366919
12/1/2004,1492929
1/1/2005,1470285
2/1/2005,1310045
3/1/2005,1471608
4/1/2005,1471787
5/1/2005,1558917
6/1/2005,1501361
7/1/2005,1523204
8/1/2005,1505034
9/1/2005,1417844
10/1/2005,1496159
11/1/2005,1496651
12/1/2005,1476306
1/1/2006,1456525
2/1/2006,1335771
3/1/2006,1476417
4/1/2006,1467439
5/1/2006,1542849
6/1/2006,1472320
7/1/2006,1552907
8/1/2006,1518976
9/1/2006,1427135
10/1/2006,1522304
11/1/2006,1447438
12/1/2006,1486079
1/1/2007,1487442
2/1/2007,1374223
3/1/2007,1526932
4/1/2007,1488875
5/1/2007,1482372
6/1/2007,1478895
7/1/2007,1561767
8/1/2007,1544445
9/1/2007,1472156
10/1/2007,1540580
11/1/2007,1536633
12/1/2007,1657333
1/1/2008,1683977
2/1/2008,1646144
3/1/2008,1791643
4/1/2008,1743011
5/1/2008,1785670
6/1/2008,1831120
7/1/2008,1872124
8/1/2008,1892858
9/1/2008,1821059
10/1/2008,1924308
11/1/2008,1767928
12/1/2008,1832810
1/1/2009,1658681
2/1/2009,1569905
3/1/2009,1791627
4/1/2009,1683245
5/1/2009,1810717
6/1/2009,1772267
7/1/2009,1798173
8/1/2009,1768056
