data,ipca
1980 fev,4.62
1980 mar,6.04
1980 abr,5.29
1980 mai,5.7
1980 jun,5.31
1980 jul,5.55
1980 ago,4.95
1980 set,4.23
1980 out,9.48
1980 nov,6.67
1980 dez,6.61
1981 jan,6.84
1981 fev,6.4
1981 mar,4.97
1981 abr,6.46
1981 mai,5.56
1981 jun,5.52
1981 jul,6.26
1981 ago,5.5
1981 set,5.26
1981 out,5.08
1981 nov,5.27
1981 dez,5.93
1982 jan,6.97
1982 fev,6.64
1982 mar,5.71
1982 abr,5.89
1982 mai,6.66
1982 jun,7.1
1982 jul,6.36
1982 ago,5.97
1982 set,5.08
1982 out,4.44
1982 nov,5.29
1982 dez,7.81
1983 jan,8.64
1983 fev,7.86
1983 mar,7.34
1983 abr,6.58
1983 mai,6.48
1983 jun,9.88
1983 jul,10.08
1983 ago,9.11
1983 set,10.3
1983 out,8.87
1983 nov,7.38
1983 dez,8.68
1984 jan,9.67
1984 fev,9.5
1984 mar,8.94
1984 abr,9.54
1984 mai,9.05
1984 jun,10.08
1984 jul,9.72
1984 ago,9.35
1984 set,11.75
1984 out,10.44
1984 nov,10.53
1984 dez,11.98
1985 jan,11.76
1985 fev,10.87
1985 mar,10.16
1985 abr,8.2
1985 mai,7.2
1985 jun,8.49
1985 jul,10.31
1985 ago,12.05
1985 set,11.12
1985 out,10.62
1985 nov,13.97
1985 dez,15.07
1986 jan,14.37
1986 fev,12.72
1986 mar,4.77
1986 abr,0.78
1986 mai,1.4
1986 jun,1.27
1986 jul,1.71
1986 ago,3.55
1986 set,1.72
1986 out,1.9
1986 nov,5.45
1986 dez,11.65
1987 jan,13.21
1987 fev,12.64
1987 mar,16.37
1987 abr,19.1
1987 mai,21.45
1987 jun,19.71
1987 jul,9.21
1987 ago,4.87
1987 set,7.78
1987 out,11.22
1987 nov,15.08
1987 dez,14.15
1988 jan,18.89
1988 fev,15.7
1988 mar,17.6
1988 abr,19.29
1988 mai,17.42
1988 jun,22
1988 jul,21.91
1988 ago,21.59
1988 set,27.45
1988 out,25.62
1988 nov,27.94
1988 dez,28.7
1989 jan,37.49
1989 fev,16.78
1989 mar,6.82
1989 abr,8.33
1989 mai,17.92
1989 jun,28.65
1989 jul,27.74
1989 ago,33.71
1989 set,37.56
1989 out,39.77
1989 nov,47.82
1989 dez,51.5
1990 jan,67.55
1990 fev,75.73
1990 mar,82.39
1990 abr,15.52
1990 mai,7.59
1990 jun,11.75
1990 jul,12.92
1990 ago,12.88
1990 set,14.41
1990 out,14.36
1990 nov,16.81
1990 dez,18.44
1991 jan,20.75
1991 fev,20.72
1991 mar,11.92
1991 abr,4.99
1991 mai,7.43
1991 jun,11.19
1991 jul,12.41
1991 ago,15.63
1991 set,15.63
1991 out,20.23
1991 nov,25.21
1991 dez,23.71
1992 jan,25.94
1992 fev,24.32
1992 mar,21.4
1992 abr,19.93
1992 mai,24.86
1992 jun,20.21
1992 jul,21.83
1992 ago,22.14
1992 set,24.63
1992 out,25.24
1992 nov,22.49
1992 dez,25.24
1993 jan,30.35
1993 fev,24.98
1993 mar,27.26
1993 abr,27.75
1993 mai,27.69
1993 jun,30.07
1993 jul,30.72
1993 ago,32.96
1993 set,35.69
1993 out,33.92
1993 nov,35.56
1993 dez,36.84
1994 jan,41.31
1994 fev,40.27
1994 mar,42.75
1994 abr,42.68
1994 mai,44.03
1994 jun,47.43
1994 jul,6.84
1994 ago,1.86
1994 set,1.53
1994 out,2.62
1994 nov,2.81
1994 dez,1.71
1995 jan,1.7
1995 fev,1.02
1995 mar,1.55
1995 abr,2.43
1995 mai,2.67
1995 jun,2.26
1995 jul,2.36
1995 ago,0.99
1995 set,0.99
1995 out,1.41
1995 nov,1.47
1995 dez,1.56
1996 jan,1.34
1996 fev,1.03
1996 mar,0.35
1996 abr,1.26
1996 mai,1.22
1996 jun,1.19
1996 jul,1.11
1996 ago,0.44
1996 set,0.15
1996 out,0.3
1996 nov,0.32
1996 dez,0.47
1997 jan,1.18
1997 fev,0.5
1997 mar,0.51
1997 abr,0.88
1997 mai,0.41
1997 jun,0.54
1997 jul,0.22
1997 ago,-0.02
1997 set,0.06
1997 out,0.23
1997 nov,0.17
1997 dez,0.43
1998 jan,0.71
1998 fev,0.46
1998 mar,0.34
1998 abr,0.24
1998 mai,0.5
1998 jun,0.02
1998 jul,-0.12
1998 ago,-0.51
1998 set,-0.22
1998 out,0.02
1998 nov,-0.12
1998 dez,0.33
1999 jan,0.7
1999 fev,1.05
1999 mar,1.1
1999 abr,0.56
1999 mai,0.3
1999 jun,0.19
1999 jul,1.09
1999 ago,0.56
1999 set,0.31
1999 out,1.19
1999 nov,0.95
1999 dez,0.6
2000 jan,0.62
2000 fev,0.13
2000 mar,0.22
2000 abr,0.42
2000 mai,0.01
2000 jun,0.23
2000 jul,1.61
2000 ago,1.31
2000 set,0.23
2000 out,0.14
2000 nov,0.32
2000 dez,0.59
2001 jan,0.57
2001 fev,0.46
2001 mar,0.38
