data,petroleo,asfalto,coque,gasolina,gasolina_aviao,GLP,lubrificante,nafta,oleo_combustivel,oleo_diesel,outros_energeticos,outros_nao_energeticos,parafina,querosene_aviao,querosene_iluminante,solvente
1/1/2000,7560971,92383.01248,153202,1332710,3107,553539,83540,899976,1240194,2559946,9516,73152,11295,276627,24662,17464
2/1/2000,7249374,120864.0614,143090,1488925,3287,550372,78861,858760,1218750,2231365,10647,69188,16470,341720,13735,29933
3/1/2000,8083484,117801.2315,150073,1561730,16509,582651,68270,899038,1448648,2605973,9708,84393,14455,350211,14798,32555
4/1/2000,7833292,133131.1364,157751,1453783,11024,566303,89345,991981,1323751,2576987,8997,69457,17283,301738,16943,51681
5/1/2000,7783285,151076.3202,157239,1545238,6350,600888,83752,884851,1317914,2635410,186,57815,8163,288354,15222,48377
6/1/2000,8081190,158321.9772,187297,1546508,2416,612213,80656,982141,1385219,2629680,4499,64310,13085,327466,18022,40888
7/1/2000,8196043,162291.8739,204487,1636440,6089,598965,76855,906435,1187234,2738671,497,75096,14340,325476,13019,50706
8/1/2000,8035865,178189.827,185526,1523980,6943,575010,63847,748292,1209305,2708274,8434,79442,11048,311379,18581,44299
9/1/2000,7368736,194963.3784,159194,1600458,6418,555961,74275,725463,1123414,2450251,24827,84709,11790,330750,15279,47478
10/1/2000,8240352,191134.5896,145073,1737382,2928,582269,85159,832575,1546605,2775704,10490,82510,15916,317671,17486,53604
11/1/2000,7547156,138844.3163,147834,1438743,13069,509289,61633,747630,1431599,2456061,2587,81637,10624,290048,17868,43179
12/1/2000,7990256,125205.4855,166881,1710466,7340,619559,69420,729887,1635297,2607789,3812,70707,7125,285084,17679,55481
1/1/2001,7928528,118497.2648,162473,1539926,6747,598220,67930,807354,1545224,2538515,1815,60181,4497,314169,17148,43969
2/1/2001,7475831,99334.1181,135499,1560129,9826,565587,63841,789555,1465530,2348923,17469,51126,1260,294207,17563,50389
3/1/2001,8374479,138482.5486,154717,1550977,9344,575459,80636,818981,1646229,2607186,11261,63211,11976,302137,21303,55863
4/1/2001,7702082,106442.1702,115787,1630224,6722,596307,76576,865503,1565347,2475266,11533,80831,11428,307136,20418,52738
5/1/2001,8126284,109221.4902,162349,1809625,9640,627005,66228,754767,1449022,2671874,18568,91036,10197,354205,19086,52498
6/1/2001,8037713,130625.4251,155217,1681133,13756,648492,81353,801791,1300024,2689632,9897,65001,14148,366503,15661,59871
7/1/2001,8496883,158583.3148,152090,1517270,3401,634727,99022,960909,1517154,2904556,12823,55609,15884,297964,14071,45049
8/1/2001,8526873,154263.7861,149896,1575922,6818,622751,70128,868513,1703231,3198948,6776,48748,12460,330306,21817,61586
9/1/2001,8312095,162514.7175,138070,1702046,6748,663573,63910,892172,1530314,3063690,7044,74445,10759,314385,19922,57025
10/1/2001,8342628,149613.1847,160044,1561429,3393,629635,58046,831065,1379946,3160191,3428,58755,10312,272265,23126,50990
11/1/2001,7619478,138716.9288,141536,1545443,6718,606714,42477,816191,1153717,2945578,7927,88309,7311,243671,22484,41213
12/1/2001,7790836,161928.4424,164824,1632647,10244,632829,67329,750405,1269495,2649520,21381,76454,9920,318408,19877,48668
1/1/2002,7935041,93371.46519,162307,1680375,10330,661111,66354,772518,1484024,2644666,2543,80616,12617,299022,21430,57718
2/1/2002,7439174,120456.7842,142263,1534569,11826,611672,50998,648884,1300230,2545662,95,75183,11452,247998,17138,50148
3/1/2002,8467276,142829.8048,164290,1574775,,665605,57473,738259,1533520,2952211,,76656,12057,316143,16300,62297
4/1/2002,7961903,138942.5947,159752,1595397,10452,657973,71935,727822,1362451,2818533,19540,65578,9313,318879,12468,53708
5/1/2002,7781705,139355.4459,151224,1617909,6793,635598,73814,788844,1263546,2780013,2570,76639,13808,314597,12716,62766
6/1/2002,7455483,181735.0388,126874,1461294,10255,595239,72163,709689,1368470,2487193,20161,85284,11366,277769,14968,61101
7/1/2002,8245077,155077.8611,151325,1610749,8253,683822,73756,787999,1508270,2804406,3882,104352,12321,367209,23797,63159
8/1/2002,8230964,159156.1958,154688,1573232,6394,609490,64113,730998,1438956,2910209,20817,82451,11937,329160,28239,51949
9/1/2002,7930126,150903.9019,149075,1428677,,543890,69149,693807,1232603,2792442,3654,84877,10072,343341,24043,54073
10/1/2002,8243134,154438.9596,150757,1558176,3494,664542,72556,750197,1374701,3022555,16634,105760,14049,345832,27923,54990
11/1/2002,8076430,136359.2504,148017,1552423,3606,648753,63897,788688,1307358,2921290,13701,103078,9435,288814,19849,54546
12/1/2002,7137349,92219.14284,156549,1581342,,668106,67777,676690,1185463,2529970,24640,95162,7884,176491,12200,61579
1/1/2003,7629135,72160.86399,140463,1555879,10587,683673,69934,786991,1242048,2640271,11296,99496,12250,304643,24727,61311
2/1/2003,7198488,70959.81662,133599,1312381,6885,603847,62442,795462,1329666,2358742,49141,82631,10979,328870,22348,89538
3/1/2003,8455505,82194.83315,126380,1477798,6922,701873,71109,859787,1583173,3077795,25124,105505,13358,336063,22215,83907
4/1/2003,8255863,80281.73515,153762,1413374,7414,684720,54043,767905,1479786,2876912,12657,114904,10054,326167,12838,76283
5/1/2003,7626902,92993.34683,155900,1545413,10216,635119,84169,677553,1222483,2888329,12363,120105,11696,307269,10663,86138
6/1/2003,7451514,83119.86891,150708,1568538,4258,646137,63150,624142,1250898,2761483,39025,101894,9393,266673,7093,78183
7/1/2003,8103517,113145.2204,155120,1493161,9558,668656,64470,753893,1322341,2956776,24122,115540,6806,296258,16175,91970
8/1/2003,7849031,106032.0693,149682,1459486,2143,683463,67312,724422,1288597,2902999,5918,108466,12913,345477,17949,91854
9/1/2003,8235467,126542.9467,154662,1543814,6742,694405,60664,854074,1396172,3029859,17004,113694,11235,275454,19442,83330
10/1/2003,8158353,120639.6922,148296,1497165,,683771,84523,767487,1286991,3171122,18645,116536,12464,314151,13366,72995
11/1/2003,7361474,102393.7722,152171,1397664,,615210,62549,728264,1026128,2886100,23,89646,10777,329135,11076,78861
12/1/2003,7692574,84862.83888,160460,1401656,7006,612046,62721,627457,1258471,2837154,14472,77437,10695,363973,17620,99284
1/1/2004,8543501,69653.42265,128839,1534394,11086,723445,61704,747481,1491258,3128261,10949,97385,9377,352440,9873,97477
