ano,pop
1980,118562549
1981,121381328
1982,124250840
1983,127140354
1984,130082524
1985,132999282
1986,135814249
1987,138585894
1988,141312997
1989,143997246
1990,146592579
1991,149094266
1992,151546843
1993,153985576
1994,156430949
1995,158874963
1996,161323169
1997,163779827
1998,166252088
1999,168753552
2000,171279882
2001,173808010
2002,176303919
2003,178741412
2004,181105601
2005,183383216
2006,185564212
2007,187641714
2008,189612814
2009,191480630
2010,193252604
2011,194932685
2012,196526293
2013,198043320
2014,199492433
2015,200881685
2016,202219061
2017,203510422
2018,204759993
2019,205970182
2020,207143243
2021,208280241
2022,209380331
2023,210441362
2024,211459352
2025,212430049
2026,213348475
2027,214209414
2028,215008982
2029,215743582
2030,216410030
2031,217004993
2032,217526053
2033,217972789
2034,218345419
2035,218644711
2036,218870898
2037,219024784
2038,219108650
2039,219124700
2040,219075130
2041,218960969
2042,218783084
2043,218543546
2044,218244527
2045,217888409
2046,217476404
2047,217009177
2048,216488045
2049,215913883
2050,215287463
