Data,Hora,Temperatura
2024/01/01,0,19.2
2024/01/01,1,18.8
2024/01/01,2,18.6
2024/01/01,3,18.3
2024/01/01,4,18.1
2024/01/01,5,18.3
2024/01/01,6,17.5
2024/01/01,7,16.9
2024/01/01,8,16.8
2024/01/01,9,16.9
2024/01/01,10,17.1
2024/01/01,11,17.4
2024/01/01,12,18.7
2024/01/01,13,19.1
2024/01/01,14,19.1
2024/01/01,15,19.2
2024/01/01,16,19.8
2024/01/01,17,20.2
2024/01/01,18,19.7
2024/01/01,19,19.7
2024/01/01,20,19.3
2024/01/01,21,19
2024/01/01,22,18.7
2024/01/01,23,18.1
2024/01/02,0,18.2
2024/01/02,1,18.4
2024/01/02,2,18.1
2024/01/02,3,18
2024/01/02,4,17.9
2024/01/02,5,17.7
2024/01/02,6,17.6
2024/01/02,7,17.7
2024/01/02,8,17.7
2024/01/02,9,17.9
2024/01/02,10,18.5
2024/01/02,11,19.6
2024/01/02,12,20.8
2024/01/02,13,22.5
2024/01/02,14,23.3
2024/01/02,15,24.2
2024/01/02,16,26.4
2024/01/02,17,20.1
2024/01/02,18,21.4
2024/01/02,19,22
2024/01/02,20,21.9
2024/01/02,21,21.6
2024/01/02,22,20.8
2024/01/02,23,20.7
2024/01/03,0,20.4
2024/01/03,1,20
2024/01/03,2,19.8
2024/01/03,3,19.6
2024/01/03,4,19.5
2024/01/03,5,19.4
2024/01/03,6,19.3
2024/01/03,7,19.4
2024/01/03,8,19.4
2024/01/03,9,19.5
2024/01/03,10,20.1
2024/01/03,11,20.1
2024/01/03,12,20.2
2024/01/03,13,21
2024/01/03,14,22.6
2024/01/03,15,20.5
2024/01/03,16,21.4
2024/01/03,17,22.2
2024/01/03,18,20.7
2024/01/03,19,20.5
2024/01/03,20,20.7
2024/01/03,21,20.9
2024/01/03,22,20.8
2024/01/03,23,20.4
2024/01/04,0,20.1
2024/01/04,1,19.8
2024/01/04,2,19.7
2024/01/04,3,19.6
2024/01/04,4,19.7
2024/01/04,5,19.7
2024/01/04,6,19.7
2024/01/04,7,19.7
2024/01/04,8,19.8
2024/01/04,9,20.1
2024/01/04,10,20.3
2024/01/04,11,18.5
2024/01/04,12,18.6
2024/01/04,13,19.3
2024/01/04,14,19.3
2024/01/04,15,20.2
2024/01/04,16,21.5
2024/01/04,17,23.2
2024/01/04,18,23.4
2024/01/04,19,24.6
2024/01/04,20,24.2
2024/01/04,21,23.6
2024/01/04,22,23
2024/01/04,23,21.5
2024/01/05,0,21
2024/01/05,1,21.3
2024/01/05,2,20.4
2024/01/05,3,20.1
2024/01/05,4,19.7
2024/01/05,5,19.4
2024/01/05,6,18.9
2024/01/05,7,18.7
2024/01/05,8,18.7
2024/01/05,9,18.8
2024/01/05,10,19.1
2024/01/05,11,19.7
2024/01/05,12,21.9
2024/01/05,13,23.7
2024/01/05,14,27.4
2024/01/05,15,26.8
2024/01/05,16,28.9
2024/01/05,17,30.2
2024/01/05,18,29.3
2024/01/05,19,28.1
2024/01/05,20,29.3
2024/01/05,21,24.7
2024/01/05,22,22.4
2024/01/05,23,21.6
2024/01/06,0,21.1
2024/01/06,1,20.6
2024/01/06,2,20.6
2024/01/06,3,19.5
2024/01/06,4,19.4
2024/01/06,5,18.9
2024/01/06,6,18.8
2024/01/06,7,18.2
2024/01/06,8,18.1
2024/01/06,9,18.1
2024/01/06,10,19.1
2024/01/06,11,19.8
2024/01/06,12,21.3
2024/01/06,13,23.1
2024/01/06,14,26
2024/01/06,15,27.6
2024/01/06,16,28.1
2024/01/06,17,27.7
2024/01/06,18,27.7
2024/01/06,19,30.8
2024/01/06,20,27.9
2024/01/06,21,27.4
2024/01/06,22,25.7
2024/01/06,23,24.3
2024/01/07,0,23.7
2024/01/07,1,23.3
2024/01/07,2,21.9
2024/01/07,3,21.2
2024/01/07,4,20.3
2024/01/07,5,19.8
2024/01/07,6,19.4
2024/01/07,7,19.5
2024/01/07,8,19.8
2024/01/07,9,19.9
2024/01/07,10,21.1
2024/01/07,11,22.1
2024/01/07,12,24.5
2024/01/07,13,24.7
2024/01/07,14,27.1
2024/01/07,15,28.7
