Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
01/01/2023,0,21.2,22.1,21.1,83,84,82,18.1,19,18.1,918.5,918.5,917.5,2,95,5.2,,0
01/01/2023,100,21.2,21.3,21.2,84,84,82,18.3,18.3,18.1,918.7,918.7,918.3,2.8,91,5.3,,0
01/01/2023,200,21.1,21.2,21.1,85,85,84,18.4,18.6,18.3,918.6,918.8,918.6,3.2,90,6.2,,0
01/01/2023,300,20.5,21.1,20.5,82,85,81,17.3,18.4,17.3,917.8,918.6,917.8,2.5,64,7.2,,0
01/01/2023,400,20.8,20.8,20.4,80,83,80,17.2,17.4,17.2,917.1,917.8,917.1,1.7,72,5.4,,0
01/01/2023,500,20.3,20.9,20.3,82,82,79,17.2,17.4,17.1,916.5,917.1,916.5,2.1,69,4.7,,0
01/01/2023,600,19.8,20.3,19.8,84,86,82,16.9,17.3,16.9,915.7,916.5,915.7,2.6,73,5.7,,0
01/01/2023,700,19.6,19.8,19.6,84,84,83,16.9,16.9,16.8,915.8,915.8,915.7,2.1,73,5.7,,0
01/01/2023,800,19.7,19.7,19.2,85,87,84,17.1,17.2,16.9,916,916,915.8,0.5,42,4,,0
01/01/2023,900,20,20,19.7,84,85,84,17.1,17.2,17.1,916.8,916.8,916,2,74,3.6,0.1,0
01/01/2023,1000,20.2,20.2,19.8,83,84,83,17.3,17.3,17.1,917.5,917.5,916.8,1.7,78,4.2,116.7,0
01/01/2023,1100,21.2,21.2,20.2,81,84,81,17.7,17.8,17.3,917.9,918,917.5,1.8,80,4.7,347.8,0
01/01/2023,1200,22.4,22.4,21.2,73,81,73,17.4,18.1,17.2,918.4,918.4,917.9,2.2,74,4.6,832.9,0
01/01/2023,1300,23.8,24.1,22.4,70,74,68,18,18.5,17.3,918.7,918.8,918.4,2.5,64,6.6,1608.3,0
