Date,Views,Video
2018-02-19,0,#1
2018-02-20,0,#1
2018-02-21,0,#1
2018-02-22,0,#1
2018-02-23,0,#1
2018-02-24,0,#1
2018-02-25,0,#1
2018-02-26,0,#1
2018-02-27,0,#1
2018-02-28,0,#1
2018-03-01,0,#1
2018-03-02,0,#1
2018-03-03,0,#1
2018-03-04,0,#1
2018-03-05,0,#1
2018-03-06,0,#1
2018-03-07,0,#1
2018-03-08,0,#1
2018-03-09,0,#1
2018-03-10,0,#1
2018-03-11,0,#1
2018-03-12,0,#1
2018-03-13,0,#1
2018-03-14,0,#1
2018-03-15,0,#1
2018-03-16,0,#1
2018-03-17,0,#1
2018-03-18,0,#1
2018-03-19,0,#1
2018-03-20,0,#1
2018-03-21,0,#1
2018-03-22,0,#1
2018-03-23,0,#1
2018-03-24,0,#1
2018-03-25,0,#1
2018-03-26,0,#1
2018-03-27,0,#1
2018-03-28,0,#1
2018-03-29,0,#1
2018-03-30,0,#1
2018-03-31,0,#1
2018-04-01,0,#1
2018-04-02,0,#1
2018-04-03,0,#1
2018-04-04,0,#1
2018-04-05,0,#1
2018-04-06,0,#1
2018-04-07,0,#1
2018-04-08,0,#1
2018-04-09,0,#1
2018-04-10,0,#1
2018-04-11,0,#1
2018-04-12,0,#1
2018-04-13,0,#1
2018-04-14,0,#1
2018-04-15,0,#1
2018-04-16,0,#1
2018-04-17,0,#1
2018-04-18,0,#1
2018-04-19,0,#1
2018-04-20,0,#1
2018-04-21,0,#1
2018-04-22,0,#1
2018-04-23,0,#1
2018-04-24,0,#1
2018-04-25,0,#1
2018-04-26,0,#1
2018-04-27,0,#1
2018-04-28,0,#1
2018-04-29,0,#1
2018-04-30,0,#1
2018-05-01,0,#1
2018-05-02,0,#1
2018-05-03,4,#1
2018-05-04,1,#1
2018-05-05,6,#1
2018-05-06,11,#1
2018-05-07,29,#1
2018-05-08,3,#1
2018-05-09,5,#1
2018-05-10,8,#1
2018-05-11,0,#1
2018-05-12,0,#1
2018-05-13,4,#1
2018-05-14,4,#1
2018-05-15,5,#1
2018-05-16,7,#1
2018-05-17,1,#1
2018-05-18,1,#1
2018-05-19,1,#1
2018-05-20,5,#1
2018-05-21,3,#1
2018-05-22,1,#1
2018-05-23,8,#1
2018-05-24,2,#1
2018-05-25,2,#1
2018-05-26,2,#1
2018-05-27,1,#1
2018-05-28,1,#1
2018-05-29,1,#1
2018-05-30,3,#1
2018-05-31,9,#1
2018-06-01,10,#1
2018-06-02,5,#1
2018-06-03,2,#1
2018-06-04,2,#1
2018-06-05,7,#1
2018-06-06,7,#1
2018-06-07,8,#1
2018-06-08,9,#1
2018-06-09,6,#1
2018-06-10,10,#1
2018-06-11,12,#1
2018-06-12,3,#1
2018-06-13,19,#1
2018-06-14,13,#1
2018-06-15,5,#1
2018-06-16,8,#1
2018-06-17,7,#1
2018-06-18,13,#1
2018-06-19,11,#1
2018-06-20,22,#1
2018-06-21,8,#1
2018-06-22,10,#1
2018-06-23,7,#1
2018-06-24,11,#1
2018-06-25,20,#1
2018-06-26,17,#1
2018-06-27,10,#1
2018-06-28,10,#1
2018-06-29,8,#1
2018-06-30,6,#1
2018-07-01,7,#1
2018-07-02,10,#1
2018-07-03,19,#1
2018-07-04,17,#1
2018-07-05,11,#1
2018-07-06,6,#1
2018-07-07,2,#1
2018-07-08,1,#1
2018-07-09,11,#1
2018-07-10,0,#1
2018-07-11,2,#1
2018-07-12,2,#1
2018-07-13,4,#1
2018-07-14,4,#1
2018-07-15,2,#1
2018-07-16,6,#1
2018-07-17,4,#1
2018-07-18,10,#1
2018-07-19,6,#1
2018-07-20,4,#1
2018-07-21,5,#1
2018-07-22,4,#1
2018-07-23,4,#1
2018-07-24,3,#1
2018-07-25,9,#1
2018-07-26,9,#1
2018-07-27,5,#1
2018-07-28,2,#1
2018-07-29,2,#1
2018-07-30,5,#1
2018-07-31,6,#1
2018-08-01,8,#1
2018-08-02,5,#1
2018-08-03,6,#1
2018-08-04,3,#1
2018-08-05,9,#1
2018-08-06,4,#1
2018-08-07,6,#1
2018-08-08,4,#1
2018-08-09,10,#1
2018-08-10,3,#1
2018-08-11,7,#1
2018-08-12,8,#1
2018-08-13,8,#1
2018-08-14,14,#1
2018-08-15,9,#1
2018-08-16,6,#1
2018-08-17,4,#1
2018-08-18,5,#1
2018-08-19,10,#1
2018-08-20,7,#1
2018-08-21,15,#1
2018-08-22,4,#1
2018-08-23,3,#1
2018-08-24,3,#1
2018-08-25,0,#1
2018-08-26,8,#1
2018-08-27,10,#1
2018-08-28,16,#1
2018-08-29,16,#1
2018-08-30,3,#1
2018-08-31,7,#1
2018-09-01,11,#1
2018-09-02,11,#1
2018-09-03,10,#1
2018-09-04,10,#1
2018-09-05,15,#1
2018-09-06,7,#1
2018-09-07,5,#1
2018-09-08,6,#1
2018-09-09,7,#1
2018-09-10,12,#1
2018-09-11,19,#1
2018-09-12,19,#1
2018-09-13,6,#1
2018-09-14,3,#1
2018-09-15,7,#1
2018-09-16,10,#1
2018-09-17,8,#1
2018-09-18,18,#1
2018-09-19,9,#1
2018-09-20,16,#1
2018-09-21,6,#1
2018-09-22,5,#1
2018-09-23,14,#1
2018-09-24,7,#1
2018-09-25,8,#1
2018-09-26,12,#1
2018-09-27,10,#1
2018-09-28,7,#1
2018-09-29,3,#1
2018-09-30,25,#1
2018-10-01,14,#1
2018-10-02,13,#1
2018-10-03,10,#1
2018-10-04,5,#1
2018-10-05,3,#1
2018-10-06,4,#1
2018-10-07,13,#1
2018-10-08,9,#1
2018-10-09,18,#1
2018-10-10,9,#1
2018-10-11,8,#1
2018-10-12,6,#1
2018-10-13,8,#1
2018-10-14,7,#1
2018-10-15,7,#1
2018-10-16,13,#1
2018-10-17,14,#1
2018-10-18,6,#1
2018-10-19,2,#1
2018-10-20,9,#1
2018-10-21,6,#1
2018-10-22,16,#1
2018-10-23,12,#1
2018-10-24,15,#1
2018-10-25,12,#1
2018-10-26,9,#1
2018-10-27,8,#1
2018-10-28,20,#1
2018-10-29,12,#1
2018-10-30,14,#1
2018-10-31,9,#1
2018-11-01,5,#1
2018-11-02,9,#1
2018-11-03,3,#1
2018-11-04,13,#1
2018-11-05,9,#1
2018-11-06,10,#1
2018-11-07,16,#1
2018-11-08,16,#1
2018-11-09,10,#1
2018-11-10,7,#1
2018-11-11,15,#1
2018-11-12,19,#1
2018-11-13,4,#1
2018-11-14,8,#1
2018-11-15,13,#1
2018-11-16,10,#1
2018-11-17,4,#1
2018-11-18,14,#1
2018-11-19,14,#1
2018-11-20,24,#1
2018-11-21,24,#1
2018-11-22,10,#1
2018-11-23,1,#1
2018-11-24,22,#1
2018-11-25,26,#1
2018-11-26,35,#1
2018-11-27,21,#1
2018-11-28,29,#1
2018-11-29,22,#1
2018-11-30,9,#1
2018-12-01,12,#1
2018-12-02,29,#1
2018-12-03,15,#1
2018-12-04,14,#1
2018-12-05,31,#1
2018-12-06,25,#1
2018-12-07,16,#1
2018-12-08,0,#1
2018-12-09,17,#1
2018-12-10,16,#1
2018-12-11,18,#1
2018-12-12,22,#1
2018-12-13,8,#1
2018-12-14,9,#1
2018-12-15,2,#1
2018-12-16,8,#1
2018-12-17,4,#1
2018-12-18,9,#1
2018-12-19,8,#1
2018-12-20,13,#1
2018-12-21,6,#1
2018-12-22,0,#1
2018-12-23,2,#1
2018-12-24,3,#1
2018-12-25,5,#1
2018-12-26,4,#1
2018-12-27,4,#1
2018-12-28,0,#1
2018-12-29,0,#1
2018-12-30,0,#1
2018-12-31,0,#1
2019-01-01,4,#1
2019-01-02,5,#1
2019-01-03,7,#1
2019-01-04,5,#1
2019-01-05,7,#1
2019-01-06,8,#1
2019-01-07,2,#1
2019-01-08,9,#1
2019-01-09,20,#1
2019-01-10,11,#1
2019-01-11,9,#1
2019-01-12,6,#1
2019-01-13,12,#1
2019-01-14,7,#1
2019-01-15,13,#1
2019-01-16,12,#1
2019-01-17,7,#1
2019-01-18,9,#1
2019-01-19,4,#1
2019-01-20,11,#1
2019-01-21,11,#1
2019-01-22,16,#1
2019-01-23,7,#1
2019-01-24,5,#1
2019-01-25,6,#1
2019-01-26,11,#1
2019-01-27,14,#1
2019-01-28,8,#1
2019-01-29,8,#1
2019-01-30,13,#1
2019-01-31,12,#1
2019-02-01,11,#1
2019-02-02,7,#1
2019-02-03,3,#1
2019-02-04,1,#1
2019-02-05,15,#1
2019-02-06,18,#1
2019-02-07,18,#1
2019-02-08,2,#1
2019-02-09,1,#1
2019-02-10,11,#1
2019-02-11,6,#1
2019-02-12,16,#1
2019-02-13,11,#1
2019-02-14,18,#1
2019-02-15,6,#1
2019-02-16,4,#1
